,notification_date,TY,SType
0,2020-01-25 00:00:00,2,All
1,2020-02-25 00:00:00,2,All
2,2020-03-27 00:00:00,2,All
3,2020-04-27 00:00:00,2,All
4,2020-05-01 00:00:00,2,All
5,2020-06-02 00:00:00,2,All
6,2020-07-03 00:00:00,1,All
7,2020-08-03 00:00:00,1,All
8,2020-09-03 00:00:00,1,All
9,2020-10-03 00:00:00,1,All
10,2020-11-03 00:00:00,1,All
11,2020-12-03 00:00:00,1,All
12,2021-01-03 00:00:00,1,All
13,2021-02-25 00:00:00,1,All
14,2021-03-27 00:00:00,1,All
15,2021-04-27 00:00:00,1,All
16,2021-05-01 00:00:00,1,All
17,2021-06-02 00:00:00,1,All
18,2021-07-03 00:00:00,1,All
19,notification_date,"DatetimeIndex(['2020-01-25', '2020-02-25', '2020-03-27', '2020-04-27',
               '2020-05-01', '2020-06-02', '2020-07-03', '2020-08-03',
               '2020-09-03', '2020-10-03', '2020-11-03', '2020-12-03',
               '2021-01-03', '2021-02-25', '2021-03-27', '2021-04-27',
               '2021-05-01', '2021-06-02', '2021-07-03'],
              dtype='datetime64[ns]', name='notification_date', freq=None)",All
